Text,Label,Notes
"Upon returning to Barry Lyndon for the first time in years (a truly phenomenal film), I was struck by the complexity of its focus on masculinity, especially the manner in which these traits manifest in an honour culture – honour culture being a type of culture where violent reactions are appropriate in the defense of social slights and one’s image. From memory, I thought the film was mainly a straight satire of these characteristics – and in some sense, it really is. The opening narration is genuinely hilarious: Barry’s father could have been anything if he wasn’t killed in such an absurd manner. The huff-and-puff of the original duel between Captain Quin and Barry is played for laughs, highlighting the absurdity of male of pride. In addition, the passages throughout the war sequences, including the barbaric octagon where men need to prove themselves and the manner in which the war is conducted, all mock the ridiculous rules surrounding male honour.

Although, I found upon this rewatching, that its treatment of male honour/assertiveness is paradoxical and provides an extremely nuanced view of how these values can go completely wrong, but also why, at times, they are essential and appropriate at times. I mainly see this from Lord Bullington. A neurotic, introverted child that ultimately seems like Kubrick’s own version of Hamlet, his transformation from his submissive position and his need to reestablish his honour leads to the eventual dispelling of Barry and the reclaiming of his family.",analysis,
"All well said. To go further, I think it’s also a good examination of the supposed upper class, how it’s reinforced, how it can be cheated or fooled, and how hypocritical it can be.

Particularly showing how with the right name and/or connections, behaviour that would be expected of unprincipled peasants is tolerated and sometimes even envied. And if one should step too far over that line, then one only has overcome the honourable brutality of a duel against the single soul that has called you out for going too far.",analysis,
"This is one of my favorites.

It has been several years since I watched it, but thinking on it, there are definitely elements where the masculine energy of the film gets subverted, either by narrative irony where things blow up in someone's face, or by less masculine figures coming out ahead.

There are also elements where male characters are depicted in a very feminine way, such as the use of face paint/make up, which seems to largely be associated with the noble class. Lord Bullington at the end, like you mentioned, is pale, pubescent, and indignant in a way that is classicly childish. Either of these depictions, the Chevalier or Lord Bullington, are some of the only characters that come away from the narrative with a positive trajectory.

Meanwhile, when the tragedy happens near the end, it echoes the famous image of Napoleon on horseback.

There's also a juxtaposition of homosexuality, when Barry steals the horse, and later when he shares a kiss with his dying friend. These moments are subdued but intimate. Completely lacking in spectacle. Compare that with the scenes shot with solely the light of hundreds of candles, or large landscape painting across entire walls, all of which delights in the spectacle. There are so many interesting pieces of the narrative that all feel so deliberate.

There are so many layers to this film. For me, it works on every single level in a way that few other movies have.",analysis,
"I can’t believe I overlooked this guy. Over the last week I watched six movies by him (Nobody Knows, After Life, Still Walking, Monster, Shoplifters, Maborosi) and every single one was amazing. I was trying to figure out a ranking, but I’d have to think about it a little more. It got me thinking about who is considered the greatest non-American filmmakers. Would you put Hirokazu Koreeda on that list? Who else should make the list?",reaction,
"Koreeda is 100% on my list of greatest filmmakers, american or not. he has a very contemplative style that i admire, and i love a filmmaker who is overly sentimental the way he is. my top three from him would probably be Still Walking, Monster, and Nobody Knows.",reaction,
"He's my favorite contemporary Japanese director. Check out I Wish when you get a chance. It's a personal favorite of mine. Hamaguchi, Kiyoshi Kurosawa, Sho Miyake, and Chie Hayakawa are all great as well.

He'd absolutely be on that list for me. If we're talking Asian directors, I'd also add Edward Yang, Lee Chang-Dong, Jia Zhangke, Jafar Panahi, and Wong Kar-wai.",reaction,
"No Country For Old Men - The Characterization of Sheriff Bell
I just rewatched this film for the first time in years, after just finished the Cormac McCarthy novel this last week. And to be honest, I'm a bit bothered by how Bell is portrayed in the film. It really feels like he gives not one single shit in the film, regularly avoiding meetups investigating, to the point where is deputy is palpably annoyed by his inaction. Compared to his portrayal in the novel, he felt very active and dedicated, and yet just fundamentally one step behind Chigurh at every step, til at the end it seemed like his character was truly defeated. As if Bell gave it his literal all, and that it still wasn't enough.

This frustration is exacerbated by the ending being so closely linked to the novel's ending - a retired Bell describing a dream of his father leading him through the woods. In the novel, this passage carries heavy thematic significance - the lineage of being a boy into an old man who has grown too old for the world as it is now. That is the significance of the title - that the world will change under our feet as we age, and that will leave us in a world we no longer understand. And to me, after playing the same ending after characterizing Bell totally differently from the novel, the ending seems so hollow and borderline forced compared to the novel, which is reminiscent of Chigurh's final speech to Carla Jean, that everything lead to that very moment and that there was no avoiding it.

",analysis,
"I'm not sure I've seen a more perfectly constructed film than Rosemary's Baby
When I say this, there are many, many films that are more artfully, more cinematically, more elevatedly, or even creatively constructed. In many you can just feel the director's auteur-ness showing in completely admirable ways, or alternately, in very satisfying genre-guided ways, illumining convention spectacularly, but, in rewatching Rosemary's Baby for the umpteenth time last night we were absolutely struck by how there is zero fat on this film. Every scene, every shot, every performance tone and note seem to work in a completely tireless movie that spends the right amount of time and emphasis required, beat by beat. And Mia Farrow's voice performance floats through all this leanness almost operatically with tremulous excitement, anxiety and terror. The film is like a clockwork. Total appreciation. There is a kind of ease with which it moves, that does not call attention to itself.


",analysis,
"Rosemary's Baby was great, though I am not sure about the perfectly constructed part or how to really analyze that. Spending time on characters, atmosphere etc can always seem important to some or redundant to others. I am not sure if RB is in any way more perfect about what it emphasizes than other good movies, what exactly do you mean by that.

Although I think it is one of the greatest horrors, I watched the other 2 movies from Polansky's apartment trilogy, Repulsion and Tenant, and thought they were just as strong, I even prefered them slightly more.

Tenant is a bit messier in terms of plot but has something really special about it and the anxiety it builds, it's maybe even my favorite. Repulsion is maybe the most perfect psychological surreal trip. I keep changing my mind between which of these two I like more.

I can understand why Rosemary is the most popular, because it has the most tangible plot, but all three are genius horrors.",reaction,"Borderline. Compares films and mentions 'tangible plot', but lacks specific evidence from the film to support the comparison."
"Grungy 1980s comedy movies and the demise of the comedy film
I was thinking recently about the run of comedy movies in the late 1970s until the end of the 1980s. The 1980s was really the golden age for comedy films like Airplane, Naked Gun, Christmas Vacation, etc. I love that style of humor--the absurdism and slapstick.

But looking back a lot of the movies from that time, watching them today, also have striking levels of nudity movies don't have anymore, and rely on a lot of blue humor and cringey and at times pretty gross gags. The types of things you fast forward with the family.

Some of it's funny, but a lot of it just seems weird today. Just very grungy.

On the other hand, it seems like comedy movies have all but gone extinct today. I do think it's very difficult to make a good comedy film, something that is both funny and a good movie that stands on its own two feet. Comedy and what is ""funny"" and the commercial and story demands of what people consider a ""good"" film seem like they are intrinsically in conflict. Really funny movies often have terrible plots. Comedy seems like it's easier done in television (The Office, Always Sunny, Seinfeld, etc.). But when you think about it, there really are no tentpole comedy films anymore. I don't even remember the last one, save for Naked Gun last year, which I really liked, but you can see how hard and rare it is for Hollywood to churn one of those out.",analysis,
"Disclosure Day — almost great, and that almost really hurts.
Okay so I went in absolutely buzzing. Spielberg. UFOs. Emily Blunt.

I mean come on, that's a lineup that makes you feel like a kid again before the lights even go down. The trailers had me convinced this was going to be something special, and honestly for the first act I thought it might be.


And look Emily Blunt is flat out incredible in this. The scene where she freezes mid-weather report and starts clicking out alien sounds? That's the kind of unhinged, committed performance you just don't see enough of. She's funny, chaotic, and genuinely moving all at once. She carries so much of this film on her shoulders and absolutely does not drop it.


Spielberg's eye is still immaculate too. Some of the compositions in this movie are just tossed off like nothing, shots that other directors would storyboard for weeks. The Kaminski backlighting, the way scenes move through space, you feel the craft constantly.


And I get what he's going for. The empathy angle, the idea that understanding the unknown starts with understanding yourself. That's genuinely beautiful thematically.


But the movie just doesn't stick the landing. The third act lurches into this desperate feel-good catharsis that the film hasn't really earned. It's like Spielberg knew exactly what he wanted to say but couldn't figure out how to make you *feel* it. You leave understanding the message and forgetting the movie.


Really wanted more. Blunt deserved more.

",analysis,"Complex. Highly emotional tone, but references specific cinematic techniques (Kaminski backlighting, compositions) and thematic elements."
